Manufacturer,Equipment Type,Model Name,First Manufactured,Last Manufactured,OS,Firmware Version,Battery Life,Scanning Rate,VVPAT?,Paper Capacity,Certification Level,Security Risks,Notes/Misc.,Discontinued,Team that added
Dominion,Batch-Fed Optical Scanner,ImageCast Central,6/1/2012,12/31/2023,Linux,ImageCastCentralOS 4.5,-1,300,FALSE,1000,VVSG 1.0 (2005),"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is -1 because this is a high-throughput central scanner typically powered by wall AC and not battery-operated.,FALSE,The Knicks (Sean)
Dominion,DRE Touchscreen,ImageCast X as DRE,7/1/2015,12/31/2023,Android,ImageCastXOS 4.9,10,0,FALSE,0,VVSG 1.0 (2005),"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 10 based on ruggedized tablet specs. Scanning rate is 0 because it does not scan ballots. Paper capacity is 0 because it does not print or handle paper.,FALSE,The Knicks (Sean)
Dominion,Hand-Fed Optical Scanner,ImageCast Precinct,6/1/2015,12/31/2023,Linux,ImageCastPrecinctOS 5.0,6,71,FALSE,3000,VVSG 1.0 (2005),"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is 6 based on field reports from mobile precinct usage. Scanning rate is 71 based on Dominion documentation.,FALSE,The Knicks (Sean)
Dominion,Hybrid Optical Scanner/BMD,ImageCast Evolution,6/1/2015,12/31/2023,Linux,ImageCastEvolutionOS 5.1,6,71,FALSE,3000,VVSG 1.0 (2005),"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is 6 based on field deployment references. Scanning rate is 71 as documented by Dominion.,FALSE,The Knicks (Sean)
Dominion,Hybrid Optical Scanner/DRE,ImageCast Precinct ATI,6/1/2015,12/31/2023,Linux,ImageCastPrecinctOS 5.0,6,71,FALSE,3000,VVSG 1.0 (2005),"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is 6 based on same hardware as standard ImageCast Precinct. Scanning rate is 71 based on Dominion specs.,FALSE,The Knicks (Sean)
Hart InterCivic,BMD,Verity Duo,1/1/1800,12/31/2024,None,None,-1,0,FALSE,0,Not Applicable,"insecure physical access,lack of authentication,lack of audit trail",Battery life is -1 because this is a non-electronic process. Scanning rate is 0 as ballots are counted by hand. Paper capacity is 0 because it does not involve a machine.,TRUE,The Knicks (Sean)
Hart InterCivic,BMD,Verity Touch Writer,2/1/2015,12/31/2023,Proprietary Embedded OS,VerityOS 2.3,8,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 8 based on Hart Verity system specs. Scanning rate is 0 because this BMD does not scan. Paper capacity is 1 since it prints one ballot per session.,FALSE,The Knicks (Sean)
Hart InterCivic,Batch-Fed Optical Scanner,Ballot Now,3/1/2015,12/31/2023,Proprietary Embedded OS,VerityOS 2.2,8,0,TRUE,1,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords,lack of audit trail",Battery life is 8 based on precinct-use Verity hardware specifications. Scanning rate is 0 because it does not tabulate. Paper capacity is 1 because it produces a single ballot.,FALSE,The Knicks (Sean)
Hart InterCivic,Batch-Fed Optical Scanner,Verity Central,5/1/2003,12/31/2023,Windows XP,BallotNowOS 3.4,-1,72,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,default or weak passwords,insecure physical access",Battery life is -1 because it is a central count system powered by AC. Scanning rate is 72 based on vendor documentation.,FALSE,The Knicks (Sean)
Hart InterCivic,DRE Dial,eSlate,4/1/2015,12/31/2023,Windows 10,VerityOS 2.5,-1,72,FALSE,3000,VVSG 1.0,"unpatched or outdated operating system,insecure physical access,default or weak passwords",Battery life is -1 because this is a central count system that operates exclusively on AC power. Scanning rate is 72 based on certified performance reports.,FALSE,The Knicks (Sean)
